time,exp1_s1,exp1_s1_Distorted
13.8693467336683,7,7
13.8693467336683,8,8
13.8693467336683,4,4
13.8693467336683,8,8
13.8693467336683,11,10
13.8693467336683,4,4
14.070351758794,7,7
14.070351758794,6,6
14.070351758794,14,13
14.070351758794,8,7
14.070351758794,6,6
14.070351758794,5,5
14.070351758794,8,6
14.070351758794,10,9
14.070351758794,10,10
14.070351758794,10,9
14.2713567839196,5,5
14.2713567839196,8,8
14.2713567839196,11,9
14.2713567839196,4,4
14.2713567839196,11,11
14.2713567839196,11,10
14.2713567839196,5,5
14.2713567839196,4,4
14.2713567839196,7,7
14.2713567839196,10,9
14.4723618090452,7,6
14.4723618090452,7,7
14.4723618090452,7,7
14.4723618090452,5,5
14.4723618090452,5,5
14.4723618090452,11,11
14.4723618090452,8,8
14.4723618090452,6,5
14.4723618090452,11,10
14.4723618090452,4,4
14.6733668341709,7,6
14.6733668341709,9,9
14.6733668341709,6,6
14.6733668341709,7,5
14.6733668341709,8,8
14.6733668341709,11,10
14.6733668341709,10,10
14.6733668341709,4,4
14.6733668341709,6,6
14.6733668341709,7,6
14.8743718592965,11,10
14.8743718592965,7,7
14.8743718592965,6,5
14.8743718592965,8,8
14.8743718592965,7,7
14.8743718592965,11,11
14.8743718592965,12,11
14.8743718592965,10,9
14.8743718592965,9,8
14.8743718592965,9,9
15.0753768844221,11,11
15.0753768844221,4,4
15.0753768844221,6,6
15.0753768844221,2,2
15.0753768844221,10,10
15.0753768844221,8,8
15.0753768844221,7,7
15.0753768844221,6,6
15.0753768844221,8,7
15.0753768844221,6,5
15.2763819095477,4,4
15.2763819095477,4,4
15.2763819095477,4,4
15.2763819095477,7,7
15.2763819095477,5,5
15.2763819095477,7,7
15.2763819095477,11,11
15.2763819095477,7,5
15.2763819095477,5,5
15.2763819095477,8,8
15.4773869346734,11,11
15.4773869346734,7,7
15.4773869346734,3,2
15.4773869346734,5,5
15.4773869346734,4,4
15.4773869346734,10,10
15.4773869346734,7,6
15.4773869346734,9,9
15.4773869346734,9,9
15.4773869346734,8,7
15.678391959799,9,9
15.678391959799,11,11
15.678391959799,9,9
15.678391959799,11,11
15.678391959799,8,8
15.678391959799,5,4
15.678391959799,4,4
15.678391959799,9,9
15.678391959799,6,6
15.678391959799,9,9
15.8793969849246,9,9
15.8793969849246,8,7
15.8793969849246,9,9
15.8793969849246,8,8
15.8793969849246,8,8
15.8793969849246,8,8
15.8793969849246,12,12
15.8793969849246,7,7
15.8793969849246,5,5
15.8793969849246,6,6
16.0804020100502,9,9
16.0804020100502,11,10
16.0804020100502,14,13
16.0804020100502,6,6
16.0804020100502,10,10
16.0804020100502,8,8
16.0804020100502,7,7
16.0804020100502,8,6
16.0804020100502,8,7
16.0804020100502,9,9
16.2814070351759,10,10
16.2814070351759,6,6
16.2814070351759,4,3
16.2814070351759,11,10
16.2814070351759,7,7
16.2814070351759,10,9
16.2814070351759,5,4
16.2814070351759,5,5
16.2814070351759,12,12
16.2814070351759,11,11
16.4824120603015,20,18
16.4824120603015,11,11
16.4824120603015,3,3
16.4824120603015,8,8
16.4824120603015,17,15
16.4824120603015,8,8
16.4824120603015,11,10
16.4824120603015,4,4
16.4824120603015,15,15
16.4824120603015,12,12
16.6834170854271,8,8
16.6834170854271,7,6
16.6834170854271,7,7
16.6834170854271,10,10
16.6834170854271,3,3
16.6834170854271,7,7
16.6834170854271,12,11
16.6834170854271,8,7
16.6834170854271,8,8
16.6834170854271,8,8
16.8844221105528,7,7
16.8844221105528,13,11
16.8844221105528,15,14
16.8844221105528,8,8
16.8844221105528,16,15
16.8844221105528,8,7
16.8844221105528,7,7
16.8844221105528,6,6
16.8844221105528,6,6
16.8844221105528,11,11
17.0854271356784,10,10
17.0854271356784,8,7
17.0854271356784,11,11
17.0854271356784,8,8
17.0854271356784,8,8
17.0854271356784,6,5
17.0854271356784,9,7
17.0854271356784,5,5
17.0854271356784,4,4
17.0854271356784,9,7
17.286432160804,9,8
17.286432160804,6,6
17.286432160804,7,5
17.286432160804,9,8
17.286432160804,8,8
17.286432160804,5,5
17.286432160804,5,5
17.286432160804,1,1
17.286432160804,7,7
17.286432160804,8,7
17.4874371859296,5,5
17.4874371859296,9,9
17.4874371859296,3,3
17.4874371859296,5,5
17.4874371859296,13,13
17.4874371859296,14,14
17.4874371859296,3,3
17.4874371859296,8,8
17.4874371859296,11,11
17.4874371859296,6,5
17.6884422110553,11,11
17.6884422110553,11,11
17.6884422110553,9,9
17.6884422110553,1,1
17.6884422110553,7,7
17.6884422110553,12,12
17.6884422110553,10,9
17.6884422110553,7,6
